date,open,high,low,close,tick_volume,spread,real_volume
2025-09-17,3689.01,3695.2,3646.31,3659.06,249637,24,0
2025-09-18,3658.3,3672.93,3627.9,3643.65,285110,24,0
2025-09-19,3642.92,3685.2,3632.21,3684.48,258814,24,0
2025-09-22,3687.36,3748.76,3683.74,3745.92,213379,24,0
2025-09-23,3745.75,3790.99,3736.56,3763.9,258591,24,0
2025-09-24,3765.11,3779.22,3717.49,3735.66,129895,24,0
2025-09-25,3735.89,3761.46,3722.01,3748.95,229692,24,0
2025-09-26,3750.35,3783.68,3734.4,3759.05,268230,0,0
2025-09-29,3755.82,3833.68,3755.82,3833.28,331490,24,0
2025-09-30,3832.77,3871.56,3793.11,3858.45,332029,24,0
2025-10-01,3859.3,3895.14,3853.37,3865.46,303192,24,0
2025-10-02,3866.16,3897.21,3819.27,3856.0,291765,24,0
2025-10-03,3855.06,3891.54,3837.89,3885.8,283790,24,0
2025-10-06,3887.8,3970.04,3884.06,3960.35,391201,24,0
2025-10-07,3960.09,3990.99,3940.82,3984.65,382772,24,0
2025-10-08,3984.43,4059.08,3983.3,4040.23,374054,24,0
2025-10-09,4040.6,4057.8,3944.19,3976.2,458403,24,0
2025-10-10,3975.66,4022.78,3946.93,4016.38,452147,19,0
2025-10-13,3999.97,4116.92,3995.07,4109.53,381254,26,0
2025-10-14,4109.61,4179.63,4089.85,4142.28,466529,26,0
2025-10-15,4141.86,4218.06,4140.49,4207.05,339348,26,0
2025-10-16,4208.38,4330.52,4199.44,4326.88,378635,26,0
2025-10-17,4332.2,4379.15,4185.48,4249.96,574050,26,0
2025-10-20,4248.85,4381.26,4218.78,4355.97,458750,28,0
2025-10-21,4354.59,4375.18,4081.06,4124.66,543975,28,0
2025-10-22,4125.0,4161.21,4003.65,4097.81,556444,26,0
2025-10-23,4096.17,4154.62,4065.88,4126.24,407153,28,0
2025-10-24,4127.07,4144.34,4043.81,4111.73,383153,28,0
2025-10-27,4071.99,4109.09,3971.42,3980.98,424789,27,0
2025-10-28,3981.1,4019.56,3886.51,3951.12,406357,27,0
2025-10-29,3950.05,4030.24,3915.1,3928.77,423160,28,0
2025-10-30,3930.91,4027.04,3915.33,4024.45,448907,28,0
2025-10-31,4022.81,4046.09,3972.11,4002.68,400527,28,0
2025-11-03,3982.59,4030.56,3962.38,4000.93,348197,26,0
2025-11-04,4002.1,4005.67,3928.6,3931.61,344916,26,0
2025-11-05,3933.88,3990.39,3929.22,3979.95,270449,24,0
2025-11-06,3976.92,4019.47,3964.42,3977.01,281781,24,0
2025-11-07,3976.34,4027.38,3974.32,4000.04,258918,24,0
2025-11-10,3998.16,4116.5,3997.4,4115.34,305755,24,0
2025-11-11,4115.08,4148.84,4097.03,4126.39,281433,24,0
2025-11-12,4127.31,4211.66,4098.77,4194.93,362434,24,0
2025-11-13,4195.88,4244.9,4145.19,4171.2,430082,24,0
2025-11-14,4171.93,4211.14,4032.09,4084.44,472124,24,0
2025-11-17,4085.3,4106.62,4006.85,4045.43,373990,24,0
2025-11-18,4044.89,4082.41,3997.94,4067.34,391110,24,0
2025-11-19,4066.21,4132.68,4055.47,4077.25,390908,24,0
2025-11-20,4077.3,4110.02,4038.85,4076.59,432873,24,0
2025-11-21,4076.5,4100.95,4022.02,4064.33,438934,24,0
2025-11-24,4067.91,4139.95,4039.95,4134.09,309001,22,0
2025-11-25,4134.61,4159.25,4109.55,4129.99,372301,22,0
2025-11-26,4133.9,4173.38,4129.72,4163.59,297526,22,0
2025-11-27,4164.59,4168.64,4142.57,4156.44,206574,22,0
2025-11-28,4157.8,4226.82,4154.05,4218.47,193381,22,0
2025-12-01,4223.34,4264.49,4204.81,4231.42,485600,22,0
2025-12-02,4230.28,4235.95,4163.53,4206.05,369956,22,0
2025-12-03,4205.53,4241.54,4194.48,4202.43,436294,22,0
2025-12-04,4202.85,4219.66,4174.88,4207.36,379643,22,0
2025-12-05,4207.92,4259.22,4191.98,4197.82,359218,22,0
2025-12-08,4196.95,4218.85,4176.02,4190.43,337011,22,0
2025-12-09,4190.46,4221.29,4169.9,4207.6,364130,22,0
2025-12-10,4205.87,4238.72,4181.73,4228.63,313269,22,0
2025-12-11,4224.12,4285.9,4204.19,4279.19,376753,22,0
2025-12-12,4280.78,4353.47,4257.43,4299.62,442430,22,0
2025-12-15,4298.51,4350.21,4285.17,4305.13,391337,22,0
2025-12-16,4304.63,4335.02,4271.37,4302.09,377756,22,0
2025-12-17,4301.97,4349.14,4300.62,4337.94,370656,22,0
2025-12-18,4336.43,4374.55,4308.68,4332.41,390232,22,0
2025-12-19,4331.78,4356.48,4309.21,4338.2,335198,22,0
2025-12-22,4340.3,4449.17,4337.9,4443.11,271970,22,0
2025-12-23,4445.22,4499.74,4430.36,4483.9,411618,22,0
2025-12-24,4483.24,4525.62,4448.29,4479.45,367932,22,0
2025-12-26,4497.75,4549.78,4481.91,4532.83,446439,22,0
